# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x00472d98  plugins
A 0x00472da0  ledextensions
A 0x00472db0  enabled
A 0x00472e58  iostream
A 0x00473150  generic
A 0x00473188  system
A 0x004732f8  collectComments
A 0x00473360  schemecolor
A 0x004733f8  wallpaperconfigscreensaver
A 0x00473418  sameaswallpaper
A 0x00473428  overridewallpaper
A 0x00473440  overridelockscreen
A 0x00473458  slideshowkiller
A 0x00473468  hotkeys
A 0x00473470  action
A 0x00473480  nextwallpaper
A 0x00473490  screenshot
A 0x004734a0  windowbrowser
A 0x004734b0  windowsettings
A 0x004734c0  windoweditor
A 0x004734d0  togglerecord
A 0x004734e0  toggleicons
A 0x004734f0  screensaver
A 0x00473520  iconopacity
A 0x0047352c  uiskin
A 0x00473588  monitordetection
A 0x004735d0  uiquality
A 0x00473650  wproperties
A 0x00473660  defaultproperties
A 0x00473680  usershortcut
A 0x00473690  cancreatepresets
A 0x004736a4  aspect
A 0x004736b0  presets
A 0x004736c0  wallpaperconfig
A 0x004736d0  reloadMonitors
A 0x004736e0  reloadMonitorMap
A 0x004736f8  monitormap
A 0x00473724  layout
A 0x00473730  selectedwallpapers
A 0x00473840  vdesktopenabled
A 0x00473850  apprules
A 0x00473860  condition
A 0x00473870  playingaudio
A 0x00473880  windowupdaterate
A 0x00473898  hasshownwelcomedialog
A 0x004738f0  discoveredplugins
A 0x0047391c  shared
A 0x00473990  wallpaperconfigrecent
A 0x004739a8  playlists
A 0x004739b8  profiles
A 0x00473a14  config
A 0x00473c08  wallpaperconfigvdesktop
A 0x00473c20  wpropertiesvd
A 0x00473c30  usermonitors
A 0x00473c40  uiskinseasonal
A 0x00473c50  settings
A 0x00473c60  transition
A 0x00473c70  transitiontime
A 0x00473c88  refresh
A 0x00473c98  audioprocessing
A 0x00473ca8  localfiles
A 0x00473cb8  browser
A 0x00473cc8  selection
A 0x00473cd8  monitors
A 0x00473ce8  wallpapers
A 0x00473cf4  source
A 0x00473d00  destination
A 0x00473d18  options
A 0x00473d3c  device
A 0x00473d44  editor
A 0x00473d50  browsewallpapers
A 0x00473d68  ledplugin
A 0x00473d78  utilityDirectory
A 0x00473dd0  scenestorage
A 0x00473df0  konami
A 0x00473ee0  general
A 0x00473ee8  safemodewarning
A 0x00473ef8  showworkshop
A 0x00473f08  showscreensavers
A 0x00473f20  activeloadrule
A 0x00473f30  activevramtrigger
A 0x00473f48  dayofweekoffset
A 0x00473f58  timeformat12hr
A 0x00473f68  showslideshowwarning
A 0x00473f80  candisableslideshowwarning
A 0x00473fa0  timestamp
A 0x00473fac  header
A 0x00473fb8  seasonaldialogoptions
A 0x00473fd0  browseroptions
A 0x00474020  readonly
A 0x00474088  initialCommands
A 0x00474110  wallpaper
A 0x00474120  extremesleephack
A 0x00474190  unpauseaero
A 0x0047530d  ekhHD
A 0x00475a10  wallpaperconfigvd
A 0x00475a7c  common
A 0x00475a88  steamapps
A 0x00475ae8  version
A 0x00475af0  videoframework
A 0x00475b28  wpresets
A 0x00475b38  virtualdesktops
A 0x00475b48  halloween
A 0x00475b88  winter
A 0x00475bc0  seasonaldialogdisabled
A 0x00475bd8  seasonaldialogtimestamp
A 0x00475bf0  playbackfocus
A 0x00475c00  playbackmaximized
A 0x00475c18  playbackfullscreen
A 0x00475c30  playbackonbattery
A 0x00475c48  playbacksleep
A 0x00475c58  playbackaudio
A 0x00475c78  resolution
A 0x00475c90  postprocessing
A 0x00475ca0  disabled
